time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,train/loss,time/validation,time/eval,eval/score,eval/reward,eval/length,eval/reward_std,step
130000,0,730.0952919403601,0.00023070971171061197,5.0067901611328125e-06,9.616216023763021e-06,0.0010207494099934895,0.06421742287278176,3.0994415283203125e-06,0.7055408954620361,0.46410930290040275,1490.2049787125068,476.0,668.5424946620191,130000
140000,0,848.053016253778,0.00022522608439127603,5.0067901611328125e-06,9.854634602864584e-06,0.0009602705637613932,0.0641491317898035,3.0994415283203125e-06,0.4866161346435547,0.3084798398369638,983.6976383842182,326.8,213.52515219606116,140000
150000,0,785.4566591934465,0.00023293495178222656,5.0067901611328125e-06,9.377797444661459e-06,0.0009514490763346354,0.06314321845769882,5.245208740234375e-06,0.6370298862457275,0.4135003600994892,1325.4945150873248,428.6,124.30455944872097,150000
160000,0,828.9230078435651,0.0002266565958658854,5.0067901611328125e-06,9.934107462565104e-06,0.0009305477142333984,0.062168119728565216,4.0531158447265625e-06,0.6784398555755615,0.4511236161406146,1447.9421222226954,455.6,104.90467814449815,160000
170000,0,838.385938204601,0.00022109349568684897,5.0067901611328125e-06,9.934107462565104e-06,0.0009783109029134114,0.06259813609719277,2.6226043701171875e-06,0.5766489505767822,0.3773363997705531,1207.7962913616507,389.1,722.3359415961753,170000
180000,0,836.1903425221213,0.00021799405415852865,5.0067901611328125e-06,9.377797444661459e-06,0.0009236335754394531,0.06287356898188591,5.245208740234375e-06,0.6008861064910889,0.4041264484823534,1294.9864419486769,405.4,135.3191487904067,180000
190000,0,792.355850426753,0.00023126602172851562,5.0067901611328125e-06,1.0013580322265625e-05,0.0010019938151041667,0.061799554497003556,3.814697265625e-06,0.6370320320129395,0.41804046694409414,1340.2706210855167,423.4,124.64510876291564,190000
200000,0,838.382586572619,0.00021886825561523438,5.0067901611328125e-06,9.457270304361979e-06,0.0009664694468180338,0.06188902673125267,4.291534423828125e-06,0.6113827228546143,0.39297437806476015,1258.691222424168,409.5,30.92500055135292,200000
210000,0,831.7140475323639,0.00021990140279134115,5.0067901611328125e-06,9.298324584960938e-06,0.0009396076202392578,0.06093614147603512,4.0531158447265625e-06,0.6635611057281494,0.4352707643163667,1396.3478697202293,447.0,149.23392263876258,210000
220000,0,833.650153083169,0.00022109349568684897,5.0067901611328125e-06,9.457270304361979e-06,0.0009627342224121094,0.060913792967796324,4.0531158447265625e-06,0.6820049285888672,0.4455726779438421,1429.8761925007132,460.4,117.05261581283752,220000
230000,0,810.141604188171,0.0002272923787434896,5.0067901611328125e-06,1.0013580322265625e-05,0.0009620984395345052,0.06079866240918636,4.0531158447265625e-06,0.7015190124511719,0.46883441521767183,1505.583198398305,474.9,631.0793776056652,230000
240000,0,803.3698481944068,0.00022792816162109375,5.0067901611328125e-06,1.0093053181966146e-05,0.0010436375935872395,0.06115846335887909,4.291534423828125e-06,0.6935360431671143,0.45347936629152485,1455.6090814213476,461.3,143.1128435255431,240000
250000,0,832.1873234160619,0.00021950403849283853,5.0067901611328125e-06,9.218851725260416e-06,0.0009553432464599609,0.0607303631156683,6.9141387939453125e-06,0.6234018802642822,0.4103922198541191,1315.3788479246873,422.1,78.11680923060236,250000
